mol_id	success	pathway_hit	rank	block_hit	intersect	length	solution
mol_166	True	True	1	True	2	3	5
mol_167	True	True	1	True	3	4	5
mol_168	True	True	1	True	2	3	5
mol_169	True	True	1	True	2	3	5
mol_170	True	False	0	True	2	4	5
mol_171	True	False	0	True	1	3	5
mol_172	True	False	0	True	2	4	5
mol_173	True	True	5	True	4	4	5
mol_174	True	False	0	True	2	4	5
mol_175	True	True	1	True	3	3	5
mol_176	True	False	0	True	1	3	5
mol_177	True	False	0	True	3	5	5
mol_178	True	False	0	False	1	4	5
mol_179	True	False	0	False	0	4	5
mol_180	True	False	0	True	1	3	5
mol_181	True	False	0	True	3	5	5
mol_182	True	False	0	True	1	3	5
mol_183	True	False	0	True	1	2	5
mol_184	True	False	0	True	1	3	5
mol_185	True	False	0	True	1	3	5
mol_186	True	True	1	True	3	5	5
mol_187	True	False	0	True	4	5	5
mol_188	True	True	1	True	3	5	5
mol_189	True	True	1	True	2	4	5
mol_190	True	True	1	True	3	5	5
mol_191	True	True	1	True	3	5	5
mol_192	True	True	1	True	2	4	5
mol_193	True	True	2	True	4	4	5
mol_194	True	True	1	True	3	5	5
mol_195	True	True	1	True	2	4	5
mol_196	True	False	0	True	1	4	5
mol_197	True	True	4	True	2	4	5
mol_198	True	True	3	True	2	2	5
mol_199	True	True	1	True	2	3	5
mol_200	True	True	2	True	3	3	5
mol_201	True	True	1	True	2	3	5
mol_202	True	True	1	True	2	3	5
mol_203	True	True	1	True	2	3	5
mol_204	True	False	0	True	1	4	5
mol_205	True	True	3	True	2	2	5
mol_206	True	False	0	True	2	3	5
mol_207	True	True	2	True	2	2	5
mol_208	True	True	3	True	2	2	5
mol_209	True	True	1	True	3	5	5
mol_210	True	True	1	True	2	4	5
mol_211	True	False	0	False	1	4	5
mol_212	True	True	1	True	3	4	5
mol_213	True	True	1	True	2	3	5
mol_214	True	True	4	True	4	4	5
mol_215	True	True	3	True	3	5	5
mol_216	True	True	1	True	2	5	5
mol_217	True	True	1	True	4	5	5
mol_218	True	True	2	True	4	4	5
mol_219	True	True	1	True	3	4	5
mol_220	True	True	1	True	2	3	5
mol_221	True	False	0	False	2	6	5
mol_222	True	True	1	True	3	4	5
mol_223	True	True	1	True	2	3	5
mol_224	True	True	1	True	2	5	5
mol_225	True	False	0	False	1	4	5
mol_226	True	False	0	False	1	4	5
mol_227	True	False	0	False	1	4	5
mol_228	True	True	1	True	2	3	5
mol_229	True	True	3	True	2	3	5
mol_230	True	False	0	False	3	4	5
mol_231	True	False	0	False	2	4	5
mol_232	True	False	0	False	3	4	5
mol_233	True	False	0	False	2	4	5
mol_234	True	False	0	False	1	4	5
mol_235	True	True	2	True	3	3	5
mol_236	True	True	1	True	2	3	5
mol_237	True	True	3	True	3	3	5
mol_238	True	True	2	True	2	3	5
mol_239	True	True	1	True	2	2	5
mol_240	True	False	0	True	1	3	5
mol_241	True	False	0	True	2	5	5
mol_242	True	True	1	True	2	2	5
mol_243	True	True	2	True	5	5	5
mol_244	True	True	1	True	3	4	5
mol_245	True	True	2	True	3	3	5
mol_246	True	True	2	True	4	4	5
mol_247	True	True	1	True	3	4	5
mol_248	True	True	1	True	3	4	5
mol_249	True	True	2	True	3	3	5
mol_250	True	True	1	True	3	4	5
mol_251	True	False	0	False	2	6	5
mol_252	True	False	0	False	2	6	5
mol_253	True	True	2	True	3	4	5
mol_254	True	False	0	True	2	4	5
mol_255	True	True	2	True	2	3	5
mol_256	True	True	1	True	2	3	5
mol_257	True	True	1	True	3	3	5
mol_258	True	True	1	True	2	3	5
mol_259	True	True	1	True	2	3	5
mol_260	True	True	1	True	2	3	5
mol_261	True	True	1	True	2	3	5
mol_262	True	True	1	True	2	3	5
mol_263	True	True	1	True	4	4	5
mol_264	True	True	1	True	3	3	5
mol_265	True	True	1	True	2	3	5
mol_266	True	False	0	True	6	6	5
mol_267	True	True	1	True	3	4	5
mol_268	True	True	1	True	3	3	5
mol_269	True	True	1	True	3	4	5
mol_270	True	True	1	True	2	3	5
mol_271	True	True	1	True	2	4	5
mol_272	True	True	1	True	2	3	5
mol_273	True	True	1	True	2	4	5
mol_274	True	False	0	True	2	4	5
mol_275	True	True	1	True	2	3	5
mol_276	True	True	1	True	2	2	5
mol_277	True	True	1	True	2	3	5
mol_278	True	True	1	True	2	3	5
mol_279	True	True	1	True	2	3	5
mol_280	True	True	1	True	2	2	5
mol_281	True	True	1	True	2	3	5
mol_282	True	True	1	True	2	2	5
mol_283	True	True	1	True	2	3	5
mol_284	True	True	1	True	2	3	5
mol_285	True	True	1	True	2	5	5
mol_286	True	True	1	True	2	2	5
mol_287	True	False	0	False	0	4	5
mol_288	True	True	2	True	2	2	5
mol_289	True	True	1	True	3	3	5
mol_290	True	True	1	True	2	3	5
mol_291	True	False	0	False	0	5	5
mol_292	True	True	1	True	1	3	5
mol_293	True	False	0	True	5	6	5
mol_294	True	True	2	False	3	3	5
mol_295	True	True	2	False	2	3	5
mol_296	True	False	0	True	0	5	5
mol_297	True	False	0	False	3	5	5
mol_298	True	False	0	False	2	5	5
mol_299	True	True	5	False	2	2	5
mol_300	True	False	0	False	2	3	5
mol_301	True	False	0	False	1	3	5
mol_302	True	False	0	False	2	3	5
mol_303	True	False	0	False	1	2	5
mol_304	True	True	4	False	1	1	5
mol_305	True	False	0	False	0	3	5
mol_306	True	False	0	False	1	4	5
mol_307	True	False	0	False	1	4	2
mol_308	True	True	3	False	1	2	5
mol_309	True	False	0	False	1	5	5
mol_310	True	False	0	False	0	2	5
mol_311	True	True	5	False	1	1	5
mol_312	True	True	3	False	1	2	5
mol_313	True	False	0	False	3	5	5
mol_314	True	False	0	False	3	6	4
mol_315	True	False	0	False	5	6	4
mol_316	True	False	0	False	4	5	5
mol_317	True	False	0	False	4	5	5
mol_318	True	False	0	False	0	2	5
mol_319	True	False	0	False	1	3	5
mol_320	True	False	0	False	0	5	5
mol_321	True	False	0	False	2	4	5
mol_322	True	False	0	False	1	2	4
mol_323	True	False	0	False	1	3	5
mol_324	True	False	0	False	1	3	5
mol_325	True	False	0	False	2	4	5
mol_326	True	False	0	False	2	5	5
mol_327	True	False	0	False	3	5	5
mol_328	True	False	0	False	1	4	5
mol_329	True	False	0	False	1	3	5
mol_330	True	True	1	True	1	3	5
mol_331	True	True	1	True	2	3	5
mol_332	True	True	1	True	2	4	5
mol_333	True	True	1	True	3	4	5
mol_334	True	True	1	True	4	4	5
mol_335	True	True	1	True	5	5	5
mol_336	True	True	1	True	4	4	5
mol_337	True	True	1	True	4	4	5
mol_338	True	True	1	True	4	4	5
mol_339	True	True	5	True	4	4	5
mol_340	True	False	0	True	4	5	5
mol_341	True	True	1	True	1	4	5
mol_342	True	True	1	True	2	3	5
mol_343	True	True	1	True	2	4	5
mol_344	True	True	1	True	3	5	5
mol_345	True	True	1	True	4	4	5
mol_346	True	True	1	True	5	5	5
mol_347	True	True	1	True	5	5	5
mol_348	True	False	0	False	4	5	5
mol_349	True	True	1	True	3	3	5
mol_350	True	True	1	True	2	3	5
mol_351	True	True	1	True	3	3	5
mol_352	True	True	1	True	4	4	5
mol_353	True	True	3	True	5	5	5
mol_354	True	True	1	True	2	3	5
mol_355	True	True	1	True	3	4	5
mol_356	True	True	1	True	4	4	5
mol_357	True	True	2	True	5	5	5
mol_358	True	True	2	True	2	3	5
mol_359	True	True	1	True	5	5	5
mol_360	True	True	1	True	5	5	5
mol_361	True	True	1	True	5	5	5
mol_362	True	True	1	True	3	4	5
mol_363	True	True	1	True	4	4	5
mol_364	True	True	1	True	6	6	5
mol_365	True	True	1	True	5	5	5
mol_366	True	True	1	True	5	5	5
mol_367	True	True	1	True	4	5	5
